简介,关键词
中国全境以及一带一路地区高光谱数据,高光谱
该数据集为2002-2012年Envisat/ASAR波模式数据通过CWAVE_ENV算法反演得到的全球海况参数数据集。该数据集采用NetCDF文件格式存储，提供2002-2012年全球海域的海浪有效波高、平均波周期等参数，以及经浮标数据校正后的海浪参数。,SAR;海浪;海浪积分参数;有效波高;平均波周期
中国生态系统研究网络（Chinese Ecosystem Research Network，CERN）植物物候观测数据集，是CERN生态站植物物候观测数据综合集成的产物，包含21个生态站2003～2015年660余个物种的物候观测记录。因木本植物和草本植物观测的物候期不同，本数据集被分为木本子集和草本子集。木本子集主要记录了芽开放期、展叶期、开花始期、开花盛期、果实或者种子成熟期、叶秋季变色期和落叶期等物候信息。草本子集则记录了萌动期、开花期、果实或种子成熟期、种子散布期和黄枯期等物候信息。另外，本数据集还包含生态站代码、年份、样地代码、样地名称、样地类别、植物种名、拉丁名等信息。本数据集可以为环境变化、碳循环、植物对环境变化的响应等方面的研究提供数据支持。,中国生态系统研究网络;植物物候;气候变化;环境变化;碳循环
该数据集由分布在中国8个典型生态类型的40个气象观测站原位观测的气象辐射要素逐小时数据组成，时间跨度为2005～2015年。气象数据包括：风向风速、温湿度、气压、降雨量、土壤热通量、8层土壤温度、日照时数；辐射数据包括：总辐射、紫外辐射、光合有效辐射、净辐射及反射辐射。该数据集合为全球变化和生态系统演替研究提供中国典型生态系统的背景气候数据。,温度;降雨量;紫外辐射;光合有效辐射
本数据集包含2002-2016年中国11个典型生态系统的综合观测场土壤含水量观测数据，定位观测仪器为中子仪，分辨率为5~10天，可为土壤学、生态学、水文学等专业提供数据参考。,Soil moisture; Ecosystem
常绿落叶阔叶混交林是常绿阔叶林和落叶阔叶林之间的自然过渡类型，是对气候波动较为敏感的植被类型之一。通过调查野外固定样地，本数据集收集了2001年我国常绿落叶阔叶混交林固定监测样地胸径4 cm以上树种的组成信息，主要包括35科58属81种乔木物种的学名、平均胸径、多度、重要值、叶习性、耐阴性、演替状态等信息。用户可以按照物种名称、叶片习性和演替特征进行数据检索。典型常绿落叶阔叶混交林样方数据库的建立与共享，为理解未来全球变化条件下该类型森林的动态特征及其对气候变化的响应提供了数据支撑，有助于提升常绿落叶阔叶混交林的科学研究，对推动我国植被生态学的长期研究具有重要意义。,气候过渡区;叶习性;群落结构;样地调查
中国科学院环江喀斯特生态系统观测研究站（简称“环江站”）位于广西自治区的西北地区，是典型的喀斯特峰丛洼地区域，景观异质性高，高精度地物覆盖信息获取困难。利用小型固定翼无人机挂载多光谱相机，获取了环江站4个观测场的绿、红、红边、近红波段的光谱反射率，经过影像质量控制、拼接和投影后，计算得到归一化植被指数（NDVI）。数据为Geotiff格式，空间分辨率为0.3～0.5 m。结果表明，无人机植被遥感数据集成像效果好，NDVI数据质量可靠，可用于小区域植被覆盖度的分析和卫星遥感植被产品的多尺度对比校正，有效弥补了地面观测与常规遥感监测的尺度匹配问题。,无人机;NDVI;喀斯特;生态遥感;多光谱
随着高分辨率卫星遥感技术的快速发展及其在生态学中的广泛应用，与时空分辨率相匹配的气象空间数据，成为生态系统过程模拟及变化驱动力分析的重要数据，也是全球气候变化背景下对空间异质性较高的陆地生态系统进行长期时空动态变化及机制研究的关键资料。为了得到与中分辨率成像光谱仪（MODIS）陆表产品时空分辨率相一致的气象空间数据，进而为估算中国陆地生态系统植被净初级生产力等提供气象输入数据，本研究采用2000～2012年的全球日气候历史数据网络（Daily Global Historical Climatology Network-Daily，GHCN-D）和中国气象局国家气象信息中心制作的“中国地面气候资料日值数据集”，选取日降水和日均温两个要素，对其进行读取、合并、检查、统计、空间插值批处理代码的生成等操作，最后由ANUSPLINE软件插值生成1 km空间网格栅格数据。本栅格数据的公开共享和下载服务，可为我国陆地生态系统的时空变化研究提供数据支持。,气温;降水;插值;1 km网格;中国
太阳辐射中的光合有效辐射（Photosynthetically Active Radiation，PAR）是植物光合作用的主要能量来源。其散射组分能够增强植被冠层光能利用率，从而增加植被生产力。为准确模拟陆地生态系统生产力，需要在生态系统模型中显式地加入散射PAR的影响。因此，本文系统地估算了中国1981～2010年的散射PAR逐月空间数据，并提供公开共享和下载服务，为中国陆地生态系统生产力估算提供基础数据。,总辐射;散射辐射;光合有效辐射;散射光合有效辐射;中国
地下水是一个地区重要的自然资源，地下水位数据可为研究地下水的长期变化提供重要的参考资料。本数据集收集整理了中国生态系统研究网络（CERN）34个台站采用人工或自动记录方法观测的2005～2014年地下水位深度数据。重新整理后的数据格式更加规范，质量也有所提高。此外，为了便于用户了解台站地下水位的概况（如平均深度及其变化），我们还计算了各台站地下水位深度的平均值及其标准差。,地下水位;水资源;陆地生态系统;CERN野外台站
土壤水分是影响陆地–大气边界层能量和物质传输的重要因子。土壤水分含量是中国生态系统研究网络（CERN）陆地生态系统水环境长期定位观测的重要指标。截至2014年，CERN全国范围内包括农田、森林、草地、荒漠与湿地等生态类型的34个陆地生态系统台站，依据陆地水环境观测规范、质量保证与质量控制规范，设立观测样地，并开展土壤含水量的长期定位观测与数据汇交及质控工作。CERN水分分中心选取了这34个台站2005～2014年气象观测场的土壤含水量长期监测数据，通过进一步统一规范数据格式，形成了全国范围内较长时间序列的公开共享数据集，为土壤含水量时空动态的遥感反演、模型估算验证提供地面实测数据支撑。,陆地生态系统;气象观测场;土壤含水量;台站;CERN
土壤环境是地球环境的重要组成部分。目前土壤环境问题的关注重点在于土壤污染。我国土壤污染以无机污染为主。中国生态系统研究网络（Chinese Ecosystem Research Network，CERN）自1988年组建以来，在中国主要农田、森林、草原、荒漠、湿地生态系统中，按统一的规范，对与土壤环境状况有关的铁、锰、铜、锌、硼、钼、镉、铬、铅、镍、汞、砷、硒元素进行了长期定位监测。通过对CERN典型生态样地表层土壤环境元素监测数据进行加工处理，获得1995～2011年中国陆地生态系统土壤环境元素含量数据集。本数据集中13种土壤环境元素指标测定的相对误差平均为6.55％，重复测定的相对偏差为7.70％。同时附有完整的背景信息，保证了数据在空间和时间上的一致性。本数据集可以为全国和区域土壤环境质量评估、土壤污染风险评价以及环境土壤学研究等工作提供数据基础。,微量元素;重金属;土壤污染;中国生态系统研究网络（CERN）;长期定位监测
光合有效辐射在生态学、农学以及气候学等多个学科中都有重要的应用价值。该数据集涵盖了中国陆地8个典型生态类型、40个辐射观测站的光合有效辐射日均值，时间跨度为2005～2015年。通过对传感器的集中标定与规范的数据质量控制方案，保障了观测数据的可靠性与可比性。采用极值法对观测的光合有效辐射数据进行质量控制。,光合有效辐射
数据采自2005年至2015年，武汉东湖和江苏太湖，人工观测，逐月采集。,水温;水色;电导率;水深;透明度
数据采自2005年至2015年，武汉东湖和江苏太湖，人工观测，逐月采集。,溶解氧;pH;总磷;总氮;氨态氮;化学需氧量;钾离子;钠离子;钙离子;镁离子;硅酸盐;磷酸盐;亚硝酸盐氮;硝酸盐氮;硫酸盐
数据采自2005年至2015年，武汉东湖和江苏太湖，人工观测，逐月采集。,浮游植物总量;浮游植物生物量;叶绿素浓度
数据采自2005年至2015年，武汉东湖和江苏太湖，人工观测。武汉东湖为逐月采集，江苏太湖为年采集。,含水率;全氮;全磷
数据采自2005年至2015年，胶州湾，大亚湾和三亚，人工观测，季度采集。,水温;水色;盐度;水深;透明度
数据采自2005年至2015年，胶州湾，大亚湾和三亚，人工观测，季度采集。,pH;总磷;总氮;氨及部分氨基酸;化学需氧量
数据采自2005年至2015年，胶州湾，大亚湾和三亚，人工观测，季度采集。,浮游植物个体数;叶绿素含量
数据采自2005年至2015年，胶州湾和三亚，人工观测，年度采集。,含水率;全氮;全磷
以中国生态系统研究网络为主体，采用降水收集法，监测了43个典型生态系统2013年的酸沉降通量,酸沉降;pH值;硫酸根;中国（Acid deposition;pH;Sulfate;China）
以中国生态系统研究网络为主体，采用降水收集法，监测了41个典型生态系统2013年的氮沉降通量,氮;湿沉降;生态系统;中国（Nitrogen;Wet deposition;ecosystem;China）
通过数据集成的方法，收集整理了1990s和2000s两期氮沉降的相关文献，量化中国各个省份的氮沉降通量,氮;湿沉降;中国（Nitrogen;Wet deposition;China）
基于中国东部样带，选择了16个典型生态系统，利用离子树脂法监测了2008-2012年期间的氮湿沉降通量,氮;湿沉降;生态系统;样带（Nitrogen;Wet deposition;ecosystem;transect）
2004-2014年中国草地生态系统碳密度数据集，通过文献调研和实际调查获取,中国;草地;碳密度(China; grassland; carbon density)
2004-2014年中国森林生态系统碳密度数据集，通过文献调研和实际调查获取,中国;森林;碳密度(China;forest;carbon density)
长白山、鼎湖山、千烟洲、内蒙古、海北灌丛、海北湿地、当雄、禹城8个台站20003-2005年的GPP、RE、NEP年值。,生态系统;碳收支;ChinaFLUX(ecosystem;carbon budget; ChinaFLUX)
长白山、鼎湖山、千烟洲、海北灌丛、西双版纳、禹城6个台站20003-2005年天空总辐射半小时观测数据。,生态系统;总辐射;ChinaFLUX(ecosystem;global radiation; ChinaFLUX)
长白山、鼎湖山、千烟洲、海北灌丛、西双版纳、禹城6个台站20003-2005年的平均温度半小时观测数据。,生态系统;平均温度;ChinaFLUX(ecosystem;mean temperature; ChinaFLUX)
长白山、鼎湖山、千烟洲、海北灌丛、西双版纳、禹城6个台站20003-2005年有效辐射半小时观测数据。,生态系统;有效辐射;ChinaFLUX(ecosystem;PAR; ChinaFLUX)
长白山、鼎湖山、千烟洲、海北灌丛、西双版纳、禹城6个台站20003-2005年降水量半小时观测数据。,生态系统;降水量;ChinaFLUX(ecosystem;rainfall; ChinaFLUX)
长白山、鼎湖山、千烟洲、海北灌丛、西双版纳、禹城6个台站20003-2005年CO2通量半小时观测数据。,生态系统;CO2通量;ChinaFLUX(ecosystem;CO2 flux; ChinaFLUX)
长白山、鼎湖山、千烟洲、海北灌丛、西双版纳、禹城6个台站20003-2005年潜热通量半小时观测数据。,生态系统;潜热通量;ChinaFLUX(ecosystem;latent heat flux; ChinaFLUX)
长白山、鼎湖山、千烟洲、内蒙古、海北灌丛、海北湿地、当雄、禹城8个台站20003-2005年的显热通量半小时观测数据。,生态系统;显热通量;ChinaFLUX(ecosystem;sensible heat flux; ChinaFLUX)
2000-2010年中国区域典型陆地生态系统年初级生产力、总呼吸和净生产力数据集，生态系统生态学领域，（1）碳通量统一采用涡度相关技术方法测定；（2）进行了三维坐标旋转、Webb-Pearman-Leuning(WPL)校正等通量数据质量控制；（3）有效数据完整和连续1年以上。,陆地生态系统;生态系统初级生产力;生态系统总呼吸;生态系统净生产力;涡度相关;碳通量;中国(terrestrial ecosystem; primary production;  respiration;  net production; eddy covariance; carbon fluxes; China)
2000–2010年中国区域典型陆地生态系统蒸散量，属生态系统生态学领域，（1）统一采用涡度相关技术方法测定；（2）进行了三维坐标旋转、Webb-Pearman-Leuning(WPL)校正等通量数据质量控制；（3）有效数据完整且连续1年以上。,陆地生态系统;实际蒸散;涡度相关（terrestrial ecosystem; actual evapotranspiration; eddy covariance）
基于文献检索的氮沉降站点–年数据，通过克里格空间插值法生成了2006～2010与2011～2015年的中国可溶性无机氮（DIN为NH4+ -N与NO3- -N之和）沉降空间格局数据集，空间分辨率为1 km×1 km，数据格式为tiff。,中国;无机氮沉降;空间格局
基于文献检索的氮沉降站点–年数据，通过克里格空间插值法生成了2006～2010与2011～2015的中国铵态氮（NH4+ -N）湿沉降空间格局数据集，空间分辨率为1 km×1 km，数据格式为tiff,中国;铵态氮沉降;空间格局
基于文献检索的氮沉降站点–年数据，通过克里格空间插值法生成了2006～2010与2011～2015的中国硝态氮（NO3- -N）湿沉降空间格局数据集，空间分辨率为1 km×1 km，数据格式为tiff,中国;硝态氮沉降;空间格局
2014年包含直辖市、省会、计划单列市和京津冀、长三角和珠三角在内的74个城市气态污染物（SO2、NO2、O3）地面监测数据。数据来源于环境保护部全国城市空气质量实时发布平台，数据时间分辨率为1小时。观测方法和观测设备符合《环境空气质量标准GB3095-2012》之规定。,SO2;NO2;O3;大气环境
2014年包含直辖市、省会、计划单列市和京津冀、长三角和珠三角在内的74个城市大气颗粒物（PM10、PM2.5）地面监测数据。数据来源于环境保护部全国城市空气质量实时发布平台，数据时间分辨率为1小时。观测方法和观测设备符合《环境空气质量标准GB3095-2012》之规定。,PM2.5;大气细颗粒物 大气污染
2012-2014年中国生态系统网络大气环境本底站(兴隆、贡嘎山、长白山、阜康和鼎湖山)温室气体（CO2、CH4）浓度地面监测数据。数据时间分辨率为1周。采用钢瓶-气相色谱氢火焰离子检测器离线测定。,CO2;CH4;温室气体;气候变化
2012-2013年中国生态系统网络大气环境本底站(兴隆、贡嘎山、长白山、阜康和鼎湖山)大气颗粒物9级粒径分布的质量浓度地面监测数据。数据时间分辨率为1周。采用Anderson 9级膜采样器，十万分之一克精度微量天平称重的方法，获得粒径范围在＜0.4 μm、0.4～0.7 μm、0.7～1.1 μm、1.1～2.1 μm、2.1～3.3 μm、3.3～4.7 μm、4.7～5.8 μm、5.8～9.0 μm 和＞9.0 μm的颗粒物质量浓度。,大气颗粒物;质量浓度谱;大气污染
2012-2014年中国生态系统网络大气环境站不同粒径的大气颗粒物有机碳元素碳质量浓度地面监测数据。数据时间分辨率为月。采用热光学碳分析仪直接分析获得。,有机碳;无机碳;质量浓度谱;大气污染
利用IDW空间插值方法（空间分辨率0.01°，权重2）对各要素数据进行插值，最终得到相应经纬度范围的空间分辨率为0.01°的月均值栅格要素数据集。,气压;气温;风速;风向;栅格
2017年黄海站、东海站附近海域海洋气象要素（气压、气温、风速、风向）月均值观测数据产品,气压;气温;风速;风向;矢量
利用IDW空间插值方法（空间分辨率0.01°，权重2）对各要素数据进行插值，最终得到相应经纬度范围的空间分辨率为0.01°的月均值栅格要素数据集。,"水温;盐度;栅格
"
2017年黄海站、东海站附近海域海洋水文要素（水温、盐度）月均值观测数据产品,水温;盐度;矢量
1952-2007年中国白蜡树春季物候格网数据，包含白蜡树展叶始期的逐年格网数据，利用物候模型经过模拟和尺度拓展计算得出。,物候;白蜡树;春季;
1963-2015年10个站点中国4种代表性木本植物春、秋季物候数据集，包含每种植物展叶始期和叶开始变色期的地面观测数据距平值。,物候;木本植物;春季;秋季
高寒网17个站点气象数据,气温;湿度;降水;气压;风速：辐射
"数据集包含2015年环境保护部全国城市空气质量数据，涵盖京津冀、长三角、珠三角重点城市、省会城市和计划单列市的NO2、O3和SO2小时浓度数据（μg/m^3）。大气环境观测参照国家《环境空气质量标准GB3095-2012》规定的分析方法。数据集可为城市大气污染物的长期变化规律研究；模式模拟大气污染物时空分布的验证等研究提供准确的科学基础数据集。

","O3;	NO2;	SO2;	城市;大气污染物"
"数据包含了在本底地区兴隆、贡嘎山、长白山、阜康和鼎湖山生态观测站的近地面大气反应性气体SO2,	O3,	,	NOX的浓度（ppb）测定。为相关研究者研究本底地区大气反应性气体的长期变化规律；认知我国背景地区反应性气体浓度的动态分布、时空格局和演变趋势提供了科学基础数据集。",SO2; NO2; O3;  本底
数据内容（包含的要素及意义）：高寒网21个站（藏东南站、纳木错站、珠峰站、慕士塔格站、阿里站、那曲站、双湖站、格尔木站、天山站、祁连山站、若尔盖站（西北院）、玉龙雪山站、那曲站（寒旱所）、海北站、三江源站、申扎站、贡嘎山站、若尔盖站（成都生物所）、那曲站（地理所）、拉萨站、青海湖站）2014-2018年青藏高原气象观测数据集（气温、降水、风向风速、相对湿度、气压、辐射和蒸发）; 数据质量描述：站点日分辨率;4)数据应用成果及前景：在高寒网各野外站和泛第三极地区境外台站的长期观测数据基础上，建立泛第三极地区气象、水文及生态要素系列数据集；通过重点区域的强化观测与样地和样点验证，完成气象要素、湖泊水量与水质、地上植被生物量、冰川冻土变化等数据产品的反演；基于物联网技术，研制建立多站联网的气象、水文、生态数据管理平台，实现联网数据实时获取与远程控制及共享。,高寒网;泛第三极;青藏高原;气温;降水
"本数据集包括土壤数据和生物量数据

土壤数据：2014-2017包括8个站点土壤表层的温度和湿度、2018年12个站点的土壤表层的温度和湿度

生物量数据：2014-2017年2个站点的生物量数据、2018年5个站点的生物量数据 土壤温度和湿度数据为日算术平均值，生物量数据为定期采样值",土壤;生态;高寒网
"基于中国物候观测网（China Phenological Observation Network,	 CPON）10个站点的长期地面观测物候数据，获取中国4种代表性木本植物过去50年的典型春、秋季物候期数据集。数据集包含4种中国广布木本植物（白蜡，刺槐，榆树，紫丁香），10个中国物候观测网站点（北京，西安，沈阳，民勤，哈尔滨，呼和浩特，南京，长沙，合肥，昆明），1963-2018年的春季物候期（开始展叶期）和秋季物候期（叶全变色期）观测数据，单位为儒略日。",物候;木本植物;春季;秋季;站点观测
包含2003年-2008年中国分省的行政区域面积、农村用电量、乡村从业人员等涉及基本情况的统计数据。,中国;基本情况;统计数据
包含2003年-2008年中国分省的涉及教育、卫生、社会保障的统计数据。,中国;教育;卫生;社会保障;统计数据
包含2003年-2008年中国分省的涉及农业、工业和基本建设的统计数据。,中国;农业;工业;基本建设;统计数据
包含2003年-2008年中国分省的综合经济情况的统计数据。,中国;综合经济;统计数据
2005年的中国人口空间化分布栅格数据，在空间上反映人口的聚集程度。,中国;公里网格;人口分布
2005年的中国GDP空间化分布栅格数据，在空间上反映GDP的聚集程度。,中国;公里网格;GDP分布
1991年-2000年、2001年-2012年的青藏高原草地退化遥感监测数据文件。,青藏高原;草地退化;空间分布
1981年-2006年的青藏高原地区植被变化空间分布数据。,青藏高原;植被变化;区域分异
